id,problem,answer
739bc9_il,Determine how many positive integers $m$ satisfy the equation \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\] with exactly $4$ distinct solutions.,199
739bc9_el,Calculate the number of positive integers $m$ for which the equation \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\] has $4$ different solutions.,199
739bc9_bl,How many positive numbers $m$ make this equation true for $4$ different values of $x$? \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\],199
82e2a0_al,"Suppose that we roll four 6-sided fair dice with faces numbered 1 to~6. Let $\frac{a}{b}$ be the probability that the highest roll is a 5, where $a$ and $b$ are relatively prime positive integers. Find $a + b$.",185
82e2a0_uil,"Assume we roll four 6-sided fair dice, each numbered from 1 to 6. If the probability that the highest roll is a 5 is $\frac{a}{b}$, where $a$ and $b$ are coprime positive integers, find $a + b$.",185
82e2a0_il,"Imagine rolling four 6-sided dice, each with faces numbered 1 to 6. The probability that the highest number rolled is a 5 can be expressed as $\frac{a}{b}$, where $a$ and $b$ are relatively prime integers. Determine the value of $a + b$.",185
82e2a0_el,"Roll four fair dice, each with sides numbered 1 to 6. If the probability that the highest roll is 5 is written as $\frac{a}{b}$ in simplest form, where $a$ and $b$ are coprime, what is $a + b$?",185
82e2a0_bl,"Suppose we roll four dice that each have numbers from 1 to 6. The chance that the biggest number rolled is a 5 is written as $\frac{a}{b}$, where $a$ and $b$ have no common factors. What is $a + b$?",185
8ee6f3_al,"The points $\left(x, y\right)$ satisfying $((\vert x + y \vert - 10)^2 + ( \vert x - y \vert - 10)^2)((\vert x \vert - 8)^2 + ( \vert y \vert - 8)^2) = 0$ enclose a convex polygon. What is the area of this convex polygon?",320
8ee6f3_uil,"The points $\left(x, y\right)$ that satisfy $((\vert x + y \vert - 10)^2 + ( \vert x - y \vert - 10)^2)((\vert x \vert - 8)^2 + ( \vert y \vert - 8)^2) = 0$ form a convex polygon. What is the area of this convex polygon?",320
8ee6f3_il,"Points $\left(x, y\right)$ meeting the condition $((\vert x + y \vert - 10)^2 + ( \vert x - y \vert - 10)^2)((\vert x \vert - 8)^2 + ( \vert y \vert - 8)^2) = 0$ enclose a convex polygon. What is the area of this polygon?",320
8ee6f3_el,"The points $\left(x, y\right)$ that meet $((\vert x + y \vert - 10)^2 + ( \vert x - y \vert - 10)^2)((\vert x \vert - 8)^2 + ( \vert y \vert - 8)^2) = 0$ make a convex polygon. What is the area of this convex polygon?",320
8ee6f3_bl,"The points $\left(x, y\right)$ satisfying $((\vert x + y \vert - 10)^2 + ( \vert x - y \vert - 10)^2)((\vert x \vert - 8)^2 + ( \vert y \vert - 8)^2) = 0$ form a convex polygon. What is the area of this polygon?",320
bedda4_al,Let $ABCD$ be a unit square. Let $P$ be the point on $AB$ such that $|AP| = \frac{1}{20}$ and let $Q$ be the point on $AD$ such that $|AQ| = \frac{1}{24}$. The lines $DP$ and $BQ$ divide the square into four regions. Find the ratio between the areas of the largest region and the smallest region.,480
bedda4_uil,Consider the unit square $ABCD$. Point $P$ lies on $AB$ such that $|AP| = \frac{1}{20}$ and point $Q$ lies on $AD$ such that $|AQ| = \frac{1}{24}$. The lines $DP$ and $BQ$ divide the square into four regions. Determine the ratio of the areas of the largest region to the smallest region.,480
bedda4_il,"In the unit square $ABCD$, point $P$ is located on $AB$ such that $|AP| = \frac{1}{20}$ and point $Q$ is located on $AD$ such that $|AQ| = \frac{1}{24}$. The lines $DP$ and $BQ$ split the square into four regions. Find the ratio of the area of the largest region to the area of the smallest region.",480
bedda4_el,"In a unit square $ABCD$, point $P$ is on $AB$ where $|AP| = \frac{1}{20}$ and point $Q$ is on $AD$ where $|AQ| = \frac{1}{24}$. Lines $DP$ and $BQ$ divide the square into four parts. What is the ratio of the area of the largest part to the smallest part?",480
bedda4_bl,"In a unit square $ABCD$, point $P$ is on $AB$ with $|AP| = \frac{1}{20}$ and point $Q$ is on $AD$ with $|AQ| = \frac{1}{24}$. The lines $DP$ and $BQ$ split the square into four regions. Find the ratio of the largest area to the smallest area.",480
d7e9c9_al,A function $f: \mathbb{N} \to \mathbb{N}$ satisfies the following two conditions for all positive integers $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. Calculate $f(100)$.,199
d7e9c9_uil,A function $f: \mathbb{N} \to \mathbb{N}$ meets these two conditions for all positive integers $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. Find $f(100)$.,199
d7e9c9_il,"For a function $f: \mathbb{N} \to \mathbb{N}$, the following two conditions hold for all positive integers $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. Determine $f(100)$.",199
d7e9c9_el,A function $f: \mathbb{N} \to \mathbb{N}$ satisfies these two conditions for any positive integer $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. Calculate $f(100)$.,199
d7e9c9_bl,A function $f: \mathbb{N} \to \mathbb{N}$ has two rules for any positive number $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. What is $f(100)$?,199
d7e9c9_mal,A function $f: \mathbb{N} \to \mathbb{N}$ satisfies the following two conditions for all positive integers $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. Calculate $f(200)$.,399
d7e9c9_muil,A function $f: \mathbb{N} \to \mathbb{N}$ meets these two conditions for all positive integers $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. Find $f(200)$.,399
d7e9c9_mil,"For a function $f: \mathbb{N} \to \mathbb{N}$, the following two conditions hold for all positive integers $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. Determine $f(200)$.",399
d7e9c9_mel,A function $f: \mathbb{N} \to \mathbb{N}$ satisfies these two conditions for any positive integer $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. Calculate $f(200)$.,399
d7e9c9_mbl,A function $f: \mathbb{N} \to \mathbb{N}$ has two rules for any positive number $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. What is $f(200)$?,399
d7e9c9_m2al,A function $f: \mathbb{N} \to \mathbb{N}$ satisfies the following two conditions for all positive integers $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. Calculate $f(60)$.,119
d7e9c9_m2uil,A function $f: \mathbb{N} \to \mathbb{N}$ meets these two conditions for all positive integers $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. Find $f(60)$.,119
d7e9c9_m2il,"For a function $f: \mathbb{N} \to \mathbb{N}$, the following two conditions hold for all positive integers $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. Determine $f(60)$.",119
d7e9c9_m2el,A function $f: \mathbb{N} \to \mathbb{N}$ satisfies these two conditions for any positive integer $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. Calculate $f(60)$.,119
d7e9c9_m2bl,A function $f: \mathbb{N} \to \mathbb{N}$ has two rules for any positive number $n$: $f(f(f(n))) = 8n - 7$ and $f(2n) = 2f(n) + 1$. What is $f(60)$?,119
82e2a0_muil,"Assume we roll four 6-sided fair dice, each numbered from 1 to 6. If the probability that the highest roll is a 1 is $\frac{a}{b}$, where $a$ and $b$ are coprime positive integers, find $a + b$.",185
82e2a0_mil,"Imagine rolling four 6-sided dice, each with faces numbered 1 to 6. The probability that the highest number rolled is a 3 can be expressed as $\frac{a}{b}$, where $a$ and $b$ are relatively prime integers. Determine the value of $a + b$.",185
82e2a0_mel,"Roll four fair dice, each with sides numbered 1 to 6. If the probability that the highest roll is 6 is written as $\frac{a}{b}$ in simplest form, where $a$ and $b$ are coprime, what is $a + b$?",185
82e2a0_mbl,"Suppose we roll four dice that each have numbers from 1 to 6. The chance that the biggest number rolled is a 2 is written as $\frac{a}{b}$, where $a$ and $b$ have no common factors. What is $a + b$?",185
229ee8_r1,"Given a parabola defined by $y = kx^2 - 2kx + l$ where $k$ and $l$ are positive, and it intersects the line $y = 4$ at points $A$ and $B$ which are 6 units apart, find the sum of the squares of the distances from these points to the origin.",52
229ee8_r2,"If the parabola $y = kx^2 - 2kx + l$  (with $k, l > 0$) intersects the horizontal line $y = 4$ at two points $A$ and $B$ that are separated by a distance of 6, what is the combined sum of the squared distances from $A$ and$B$ to the origin?",52
229ee8_r3,"Consider the intersection of the parabola $y = kx^2 - 2kx + l$  and the line $y = 4$. Given that $k$ and $l$ are positive and the intersection points $A$ and $B$ are 6 units apart, calculate the sum of the squares of their distances from the origin.",52
229ee8_r4,"For a parabola given by $y = kx^2 - 2kx + l$ intersecting the line $y = 4$ at points $A$ and $B$ which are 6 units apart, find the sum of the squared distances of these points from the origin, assuming $k, l > 0$.",52
229ee8_r5,"The points $A$ and $B$  where the parabola $y = kx^2 - 2kx + l$  intersects the line $y = 4$ are 6 units apart. If $k$ and $l$ are positive parameters, what is the total sum of the squares of the distances from $A$ and $B$ to the origin?",52
246d27_r1,"How many yellow numbers can there be, at most, if every number from $111$ to $999$ is either blue or yellow, and the sum of any two yellow numbers equals a blue number?",250
246d27_r2,"Given the range of numbers from  $111$ to $999$ , each colored either blue or yellow such that the sum of any two yellow numbers results in a blue number, determine the maximum count of yellow numbers possible.",250
246d27_r3,"If all numbers from  $111$ to $999$  are colored blue or yellow and the sum of any two yellow numbers (even if the same) always yields a blue number, what is the highest number of yellow numbers you can have?",250
246d27_r4,"Find the largest possible number of yellow numbers in the set of three-digit numbers from  $111$ to $999$ , given that the sum of any two yellow numbers must be a blue number.",250
246d27_r5,"In a scenario where each three-digit number between  $111$ to $999$  is either blue or yellow, and every sum of two yellow numbers results in a blue number, what is the maximum number of yellow numbers?",250
2fc4ad_r1,"Considering the 'sparkle' operation which sums the digits of a number and takes the factorial, how many starting numbers (up to 36 digits) will always result in subsequent numbers being less than 6 after enough iterations?",702
2fc4ad_r2,"If a robot applies the 'sparkle' operation to a number on a blackboard, replacing it every second with the factorial of the sum of its digits, how many starting numbers (with up to 36 digits) will eventually lead to all subsequent numbers being less than 6?",702
2fc4ad_r3,"Using the 'sparkle' operation that replaces a number $n$ with the factorial of the sum of its digits, how many numbers (with no more than 36 digits) are such that any number appearing after them will always be less than 6?",702
2fc4ad_r4,How many special numbers exist (with at most 36 digits) such that applying the 'sparkle' operation repeatedly will eventually result in all numbers being below 6?,702
2fc4ad_r5,"For the 'sparkle' operation that involves summing the digits of a number and taking the factorial, determine how many initial numbers (up to 36 digits) ensure that all future numbers in the sequence will be less than 6.",702
430b63_r1,Find the smallest value of $5x^2+5y^2-8xy$ for real numbers $x$ and $y$ satisfying $|x-2y| + |y-2x| = 40$.,800
430b63_r2,Determine the minimum value of  $5x^2+5y^2-8xy$ when $x$ and $y$ are real numbers that fulfill the condition $|x-2y| + |y-2x| = 40$.,800
430b63_r3,What is the least possible value of the expression $5x^2+5y^2-8xy$ that $x$ and $y$ satisfy$|x-2y| + |y-2x| = 40$?,800
430b63_r4,Calculate the minimum value of $5x^2+5y^2-8xy$ for real $x$ and $y$ such that $|x-2y| + |y-2x| = 40$.,800
430b63_r5,"When $x$ and $y$ are real numbers with $5x^2+5y^2-8xy$, what is the minimum value of $|x-2y| + |y-2x| = 40$?",800
5277ed_r1,Find the sum of the only increasing geometric sequence consisting of five two-digit positive integers.,211
5277ed_r2,What is the total sum of the five two-digit positive integers that form the unique increasing geometric sequence?,211
5277ed_r3,Calculate the sum of the unique set of five two-digit numbers arranged in an increasing geometric sequence.,211
5277ed_r4,"In the unique increasing geometric sequence of five two-digit positive integers, what is their combined sum?",211
5277ed_r5,Determine the sum of the five two-digit positive integers that form the sole increasing geometric sequence.,211
739bc9_r1, How many positive integers $m$ make the equation \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\] have exactly four distinct solutions?,199
739bc9_r2,Determine the number of positive integer values of $m$ for which the equation \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\] has four distinct solutions.,199
739bc9_r3,For how many values of $m$ (positive integers) does the equation \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\] yield four distinct solutions?,199
739bc9_r4,Find the count of positive integers $m$ such that the equation \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\] results in four distinct solutions.,199
739bc9_r5,What is the number of positive integer values for $m$ where the equation \[\vert \vert x-1 \vert -2 \vert=\frac{m}{100}\] has four different solutions?,199
82e2a0_r1,"When rolling four 6-sided dice, what is  $a + b$ if the probability that the highest number rolled is a 5 is $a/b$ in simplest form?",185
82e2a0_r2,"Calculate  $a + b$ for the probability $a/b$ that the highest roll out of four 6-sided dice is 5, with $a$ and $b$ in lowest terms.",185
82e2a0_r3,"Find the sum  $a + b$ for the probability $a/b$ that the maximum roll from four fair 6-sided dice is 5, with $a$ and $b$ coprime",185
82e2a0_r4,"If the probability that the highest result from rolling four six-sided dice is 5 is $a/b$, where $a$ and $b$ are relatively prime, what is  $a + b$?",185
82e2a0_r5,Determine  $a + b$ for the simplified fraction $a/b$ representing the probability that the highest roll among four 6-sided dice is 5.,185
bedda5_r1,"In a unit square  $ABCD$, points $P$ and \(Q\) are on$AB$ and $AD$ respectively such that $|AP| = 1/{20}$ and $|AQ| = 1/{24}$. Lines $DP$ and $BQ$ create four regions. What is the ratio of the largest region's area to the smallest region's area?",480
bedda5_r2,"For a unit square  $ABCD$, with $P$ on $AB$ where $|AP| = 1/{20}$ and $Q$ on $AD$ where $|AQ| = 1/{24}$, the lines $DP$ and $BQ$ split the square into four areas. Find the ratio of the largest to the smallest area.",480
bedda5_r3,"In the unit square  $ABCD$, point $P$ on $AB$ at $|AP| = 1/{20}$ and $Q$ on $AD$ at $|AQ| = 1/{24}$, with lines $DP$ and $BQ$ dividing the square into four sections, what is the area ratio of the largest section to the smallest section?",480
bedda5_r4," Given a unit square  $ABCD$ with points $P$ on $AB$ and \(Q\) on \(AD\) such that $|AP| = 1/{20}$ and $|AQ| = 1/{24}$, respectively, and lines $DP$ and $BQ$ dividing the square into four regions, what is the ratio of the largest region's area to the smallest region's area?",480
bedda5_r5,What is the ratio of the largest to the smallest area created by dividing a unit square  $ABCD$ with points $P$ on $AB$ $|AP| = 1/{20}$ and $Q$ on $AD$ $|AQ| = 1/{24}$ using lines $DP$ and $BQ$? ,480
